SID,Commentaires éventuels (sur le formulaire ou sur votre situation personnelle),Note personnelle,Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de l'enseignement),Note enseignement,Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de la recherche),Note recherche,Pouvez-vous expliquer vos réponses merci ...,Note merci,Totalite des commentaires,Note totalite
15896547,il n y a plus d ufr à l université de bordeaux mais des uf et en particulier une uf informatique,0.77646774,,,,,,,il n y a plus d ufr à l université de bordeaux mais des uf et en particulier une uf informatique,0.77646774
15897993,temps moyen hors période bouchon,0.45320565,a ma connaissance mon enseignement n est pas évalué,0.6820697,auparavant au cea r d migration université pour faire de recherche et enseignement interdit par hiérarchie du cea mis au placard des l arrivée à l université pas de responsabilité pas de promotion retour en arrière pas possible,0.85978955,profession en perte de considération dans la société conditions de travail en régression régulière un futur docteur est déjà engagé dans le processus donc s il a fait ce choix pas de raison de le dissuader,0.5604616,temps moyen hors période bouchon a ma connaissance mon enseignement n est pas évalué auparavant au cea r d migration université pour faire de recherche et enseignement interdit par hiérarchie du cea mis au placard des l arrivée à l université pas de responsabilité pas de promotion retour en arrière pas possible profession en perte de considération dans la société conditions de travail en régression régulière un futur docteur est déjà engagé dans le processus donc s il a fait ce choix pas de raison de le dissuader,0.5812559
15899015,temps moyen de déplacement selon les sites peut aller de minutes à minutes,0.3904469,dernière question s il y a et non pas s il n y a c est tout p,0.6959145,,,on peut faire notre recherche comme on le souhaite mais pas de reconnaissance de la charge surcharge que représente l enseignement informatique il est très facile de gagner beaucoup plus avec beaucoup moins de charge mentale pour rester poli un futur docteur s il sait dans quoi il se lance alors je le soutiendrais sinon autant partir dans l industrie moins de contrainte meilleure reconnaissance,0.38155773,temps moyen de déplacement selon les sites peut aller de minutes à minutes dernière question s il y a et non pas s il n y a c est tout p on peut faire notre recherche comme on le souhaite mais pas de reconnaissance de la charge surcharge que représente l enseignement informatique il est très facile de gagner beaucoup plus avec beaucoup moins de charge mentale pour rester poli un futur docteur s il sait dans quoi il se lance alors je le soutiendrais sinon autant partir dans l industrie moins de contrainte meilleure reconnaissance,0.38201824
15899810,je suis responsable de m mon travail a une forte composante bureaucratique,0.70948654,quand un jeune me demande si devenir prof de fac est intéressant je lui conseille d aller voir ailleurs les arguments développés sont les conditions dramatiques d enseignement e g les tp par groupes de td la disparition intégrale de toute liberté d organisation personnelle on ne nous a pas encore expliqué comment procéder pour pisser mais ça va venir le mensonge éhonté du on vous recrute pour faire de la recherche alors que les soit disant chercheurs pratiquent en réalité le métier de vrp pour lequel ils ne sont pas bons le fait que la recherche fondamentale est déclarée hors la loi le fait que les directions de thèses se font sous le contrôle de plein de comités théodule à quoi sert l hdr et je ne parle pas de la reconnaissance des actions conduites quand les seuls qui obtiennent les promos sont les individualistes forcenés suffisamment lèche cul pour se faire bien voir de qui il faut,0.47811708,j ai arrêté pour les raisons indiquées dans mon précédent commentaire,0.6089623,non sans hésitation aux trois questions voir mes réponses aux commentaires précédents,0.43861443,je suis responsable de m mon travail a une forte composante bureaucratique quand un jeune me demande si devenir prof de fac est intéressant je lui conseille d aller voir ailleurs les arguments développés sont les conditions dramatiques d enseignement e g les tp par groupes de td la disparition intégrale de toute liberté d organisation personnelle on ne nous a pas encore expliqué comment procéder pour pisser mais ça va venir le mensonge éhonté du on vous recrute pour faire de la recherche alors que les soit disant chercheurs pratiquent en réalité le métier de vrp pour lequel ils ne sont pas bons le fait que la recherche fondamentale est déclarée hors la loi le fait que les directions de thèses se font sous le contrôle de plein de comités théodule à quoi sert l hdr et je ne parle pas de la reconnaissance des actions conduites quand les seuls qui obtiennent les promos sont les individualistes forcenés suffisamment lèche cul pour se faire bien voir de qui il faut j ai arrêté pour les raisons indiquées dans mon précédent commentaire non sans hésitation aux trois questions voir mes réponses aux commentaires précédents,0.50816363
15901382,pas de distance en temps pour transiter du lieu d enseignement à celui de la recherche site délocalisé sauf pour les conseils de laboratoire qui sont sur le site central,0.20086195,,,j aime toujours faire de la recherche mais j ai réduit à cause de responsabilités administratives,0.5052547,métier intéressant car très varié et avec des rencontres qui nous enrichissent intellectuellement ou personnellement je le conseil généralement au futur docteur pour les mêmes raisons,0.5480222,pas de distance en temps pour transiter du lieu d enseignement à celui de la recherche site délocalisé sauf pour les conseils de laboratoire qui sont sur le site central j aime toujours faire de la recherche mais j ai réduit à cause de responsabilités administratives métier intéressant car très varié et avec des rencontres qui nous enrichissent intellectuellement ou personnellement je le conseil généralement au futur docteur pour les mêmes raisons,0.48397473
15902826,ufr d informatique propre composée à d informaticiens,0.6954365,,,,,admin car la plupart du temps c est de l administration de l enseignement la recherche s administre peu je continue à le conseiller et le conseillerai tout le temps ecrire un article ou faire un cours est toujours gratifiant,0.3829159,ufr d informatique propre composée à d informaticiens admin car la plupart du temps c est de l administration de l enseignement la recherche s administre peu je continue à le conseiller et le conseillerai tout le temps ecrire un article ou faire un cours est toujours gratifiant,0.38970518
15903001,je ne fais pratiquement plus ma recherche dans le laboratoire mais en télétravail de plus je suis à cheval sur deux établissements j ai donc rempli ce sondage avec ma composante de rattachement,0.64719534,,,,,la charge administrative que j ai choisie n étant pas dans mon établissement de rattachement je n ai pas beaucoup d espoir qu il soit valorisé toutefois ne supportant plus les étudiants que j ai en face de moi je préfère cette solution à un temps plein en iut là où j ai ma charge administrative me permet de faire un travail de fond avec des personnes en reconversion ce qui est passionnant de plus l équipe est top,0.5021404,je ne fais pratiquement plus ma recherche dans le laboratoire mais en télétravail de plus je suis à cheval sur deux établissements j ai donc rempli ce sondage avec ma composante de rattachement la charge administrative que j ai choisie n étant pas dans mon établissement de rattachement je n ai pas beaucoup d espoir qu il soit valorisé toutefois ne supportant plus les étudiants que j ai en face de moi je préfère cette solution à un temps plein en iut là où j ai ma charge administrative me permet de faire un travail de fond avec des personnes en reconversion ce qui est passionnant de plus l équipe est top,0.50238776
15903160,enseignement sur plusieurs sites de la ville la distance en temps varie de à minutes selon les semestres d où minutes,0.71398234,,,,,la liberté intellectuelle apportée par le volet recherche est primordial et me concernant encore accessible,0.48718554,enseignement sur plusieurs sites de la ville la distance en temps varie de à minutes selon les semestres d où minutes la liberté intellectuelle apportée par le volet recherche est primordial et me concernant encore accessible,0.5275408
15903369,une partie de l enseignement sur le même lieu que celui du laboratoire,0.6648013,la très forte augmentation du nombre d étudiants sans augmentation du nombre d enseignants dégrade fortement les conditions de travail forte augmentation du nombre d heures complémentaires baisse du nb d heures pour les étudiants manque de personnel d appui le cas de l informatique étant très exceptionnel seule filière en tension qui ne forme pas assez d étudiants pour répondre au besoin des entreprises nous ne sommes pas du tout entendu par les instances de l université qui votent sans cesse des mesures contre productives non paiement des heures supplémentaires au delà de h renouvellement des postes d enseignant chercheurs seulement après an d ater refus d ouvrir un iut d informatique refus de limiter le nombre d étudiants en l informatique,0.098764636,le manque de temps à consacrer à la recherche en raison de la forte augmentation de la cherche d enseignement et administrative est très frustrant,0.58648825,depuis ans je n ai pas eu le temps de déposer mon dossier ripec ni passé mon hdr pour profiter du repiramidage la charge d enseignement et administrative était trop forte je fais des semaines de h je n ai plus l envie de sacrifier mes nuits week end et vacances pour un salaire qui ne cesse de décroitre par rapport à celui du secteurs privé,0.15360272,une partie de l enseignement sur le même lieu que celui du laboratoire la très forte augmentation du nombre d étudiants sans augmentation du nombre d enseignants dégrade fortement les conditions de travail forte augmentation du nombre d heures complémentaires baisse du nb d heures pour les étudiants manque de personnel d appui le cas de l informatique étant très exceptionnel seule filière en tension qui ne forme pas assez d étudiants pour répondre au besoin des entreprises nous ne sommes pas du tout entendu par les instances de l université qui votent sans cesse des mesures contre productives non paiement des heures supplémentaires au delà de h renouvellement des postes d enseignant chercheurs seulement après an d ater refus d ouvrir un iut d informatique refus de limiter le nombre d étudiants en l informatique le manque de temps à consacrer à la recherche en raison de la forte augmentation de la cherche d enseignement et administrative est très frustrant depuis ans je n ai pas eu le temps de déposer mon dossier ripec ni passé mon hdr pour profiter du repiramidage la charge d enseignement et administrative était trop forte je fais des semaines de h je n ai plus l envie de sacrifier mes nuits week end et vacances pour un salaire qui ne cesse de décroitre par rapport à celui du secteurs privé,0.15371509
15904052,sans hdr par choix de ne pas rédiger ce document j ai encadré thésard e s dont en tant qu encadrant principal,0.17318083,,,,,le métier se dégrade nous faisons de plus en plus de tâches administratives dont l utilité est discutable nous avons de plus en plus de contraintes en enseignement et en recherche le nombre de publications nécessaires pour avoir un dossier acceptable est de plus en plus grand en conséquence il faut passer plus de temps à rédiger des publicationscommunications qu à faire de la recherche et le contenu des publications se limite de plus en plus les grilles de salaire sont faibles par rapport au monde industriel ou aux autres pays industrialisés,0.114564665,sans hdr par choix de ne pas rédiger ce document j ai encadré thésard e s dont en tant qu encadrant principal le métier se dégrade nous faisons de plus en plus de tâches administratives dont l utilité est discutable nous avons de plus en plus de contraintes en enseignement et en recherche le nombre de publications nécessaires pour avoir un dossier acceptable est de plus en plus grand en conséquence il faut passer plus de temps à rédiger des publicationscommunications qu à faire de la recherche et le contenu des publications se limite de plus en plus les grilles de salaire sont faibles par rapport au monde industriel ou aux autres pays industrialisés,0.114557914
