SID,Commentaires éventuels (sur le formulaire ou sur votre situation personnelle),Note personnel,Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de l'enseignement),Note enseignement,Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de la recherche),Note recherche,Pouvez-vous expliquer vos réponses merci ...,Note merci,Totalite des commentaires,Note total
15896547,"Il n'y a plus d'UFR à l'Université de Bordeaux, mais des UF. Et en particulier une UF Informatique.",0.0,,,,,,,"Il n'y a plus d'UFR à l'Université de Bordeaux, mais des UF. Et en particulier une UF Informatique.",0
15897993,Temps moyen hors période bouchon,0.0,"A ma connaissance, mon enseignement n'est pas évalué.",-1.0,"Auparavant au CEA (R&D)
Migration Université pour faire + de recherche et enseignement (interdit par hiérarchie du CEA)
Mis au placard des l'arrivée à l'Université (pas de responsabilité -> pas de promotion)
Retour en arrière pas possible",-1.0,"Profession en perte de considération dans la société.
Conditions de travail en régression régulière.
Un futur docteur est déjà engagé dans le processus, donc s'il a fait ce choix, pas de raison de le dissuader.",-2.0,"Temps moyen hors période bouchon A ma connaissance, mon enseignement n'est pas évalué. Auparavant au CEA (R&D)
Migration Université pour faire + de recherche et enseignement (interdit par hiérarchie du CEA)
Mis au placard des l'arrivée à l'Université (pas de responsabilité -> pas de promotion)
Retour en arrière pas possible Profession en perte de considération dans la société.
Conditions de travail en régression régulière.
Un futur docteur est déjà engagé dans le processus, donc s'il a fait ce choix, pas de raison de le dissuader.",-4
15899015,"Temps moyen de déplacement selon les sites, peut aller de 5 minutes à 20 minutes",-1.0,"dernière question, ""S'il y a""  et non pas ""S'il n'y a"" c'est tout =p",-1.0,,,"On peut faire notre recherche comme on le souhaite, mais pas de reconnaissance de la charge (surcharge) que représente l'enseignement.

Informatique, il est très facile de gagner beaucoup plus avec beaucoup moins de charge mentale. (pour rester poli)

Un futur docteur s'il sait dans quoi il se lance alors je le soutiendrais, sinon autant partir dans l'industrie, moins de contrainte, meilleure reconnaissance ",-2.0,"Temps moyen de déplacement selon les sites, peut aller de 5 minutes à 20 minutes dernière question, ""S'il y a""  et non pas ""S'il n'y a"" c'est tout =p On peut faire notre recherche comme on le souhaite, mais pas de reconnaissance de la charge (surcharge) que représente l'enseignement.

Informatique, il est très facile de gagner beaucoup plus avec beaucoup moins de charge mentale. (pour rester poli)

Un futur docteur s'il sait dans quoi il se lance alors je le soutiendrais, sinon autant partir dans l'industrie, moins de contrainte, meilleure reconnaissance ",-4
15899810,"Je suis Responsable de M2, mon travail a une forte composante bureaucratique.",0.0,"Quand un jeune me demande si devenir prof de fac est intéressant, je lui conseille d'aller voir ailleurs. Les arguments développés sont 
- les conditions dramatiques d'enseignement (e.g. les TP par groupes de TD),
- la disparition intégrale de toute liberté d'organisation personnelle (on ne nous a pas encore expliqué comment procéder pour pisser, mais ça va venir),
- le mensonge éhonté du ""on vous recrute pour faire de la recherche"", alors que les soit disant chercheurs pratiquent en réalité le métier de VRP, pour lequel ils ne sont pas bons,
- le fait que la recherche fondamentale est déclarée hors la loi,
- le fait que les directions de thèses se font sous le contrôle de plein de comités Théodule... à quoi sert l'HDR ?
- et je ne parle pas de la reconnaissance des actions conduites, quand les seuls qui obtiennent les promos sont les individualistes forcenés suffisamment lèche-cul pour se faire bien voir de qui il faut.

",-2.0,J'ai arrêté pour les raisons indiquées dans mon précédent commentaire.,0.0,Non sans hésitation aux trois questions. Voir mes réponses aux commentaires précédents.,1.0,"Je suis Responsable de M2, mon travail a une forte composante bureaucratique. Quand un jeune me demande si devenir prof de fac est intéressant, je lui conseille d'aller voir ailleurs. Les arguments développés sont 
- les conditions dramatiques d'enseignement (e.g. les TP par groupes de TD),
- la disparition intégrale de toute liberté d'organisation personnelle (on ne nous a pas encore expliqué comment procéder pour pisser, mais ça va venir),
- le mensonge éhonté du ""on vous recrute pour faire de la recherche"", alors que les soit disant chercheurs pratiquent en réalité le métier de VRP, pour lequel ils ne sont pas bons,
- le fait que la recherche fondamentale est déclarée hors la loi,
- le fait que les directions de thèses se font sous le contrôle de plein de comités Théodule... à quoi sert l'HDR ?
- et je ne parle pas de la reconnaissance des actions conduites, quand les seuls qui obtiennent les promos sont les individualistes forcenés suffisamment lèche-cul pour se faire bien voir de qui il faut.

 J'ai arrêté pour les raisons indiquées dans mon précédent commentaire. Non sans hésitation aux trois questions. Voir mes réponses aux commentaires précédents.",-1
15901382,Pas de distance en temps pour transiter du lieu d'enseignement à celui de la recherche (site délocalisé) sauf pour les conseils de laboratoire qui sont sur le site central,1.0,,,J'aime toujours faire de la recherche mais j'ai réduit à cause de responsabilités administratives.,1.0,"Métier intéressant car très varié et avec des rencontres qui nous enrichissent intellectuellement ou personnellement.
Je le conseil généralement au futur docteur pour les mêmes raisons.",0.0,"Pas de distance en temps pour transiter du lieu d'enseignement à celui de la recherche (site délocalisé) sauf pour les conseils de laboratoire qui sont sur le site central J'aime toujours faire de la recherche mais j'ai réduit à cause de responsabilités administratives. Métier intéressant car très varié et avec des rencontres qui nous enrichissent intellectuellement ou personnellement.
Je le conseil généralement au futur docteur pour les mêmes raisons.",2
15902826,UFR d'informatique 'propre' composée à 100% d'informaticiens,0.0,,,,,"Admin : 25 car la plupart du temps c'est de l'administration de l'enseignement. La recherche s'administre peu.

Je continue à le conseiller et le conseillerai tout le temps : ecrire un article ou faire un cours est toujours gratifiant.",0.0,"UFR d'informatique 'propre' composée à 100% d'informaticiens Admin : 25 car la plupart du temps c'est de l'administration de l'enseignement. La recherche s'administre peu.

Je continue à le conseiller et le conseillerai tout le temps : ecrire un article ou faire un cours est toujours gratifiant.",0
15903001,"Je ne fais pratiquement plus ma recherche dans le laboratoire, mais en télétravail. De plus, je suis à cheval sur deux établissements. J'ai donc rempli ce sondage avec ma composante de rattachement.",2.0,,,,,"La charge administrative que j'ai choisie n'étant pas dans mon établissement de rattachement, je n'ai pas beaucoup d'espoir qu'il soit valorisé. Toutefois, ne supportant plus les étudiants que j'ai en face de moi, je préfère cette solution à un temps plein en IUT. Là où j'ai ma charge administrative me permet de faire un travail de fond avec des personnes en reconversion, ce qui est passionnant. De plus l'équipe est top.",-6.0,"Je ne fais pratiquement plus ma recherche dans le laboratoire, mais en télétravail. De plus, je suis à cheval sur deux établissements. J'ai donc rempli ce sondage avec ma composante de rattachement. La charge administrative que j'ai choisie n'étant pas dans mon établissement de rattachement, je n'ai pas beaucoup d'espoir qu'il soit valorisé. Toutefois, ne supportant plus les étudiants que j'ai en face de moi, je préfère cette solution à un temps plein en IUT. Là où j'ai ma charge administrative me permet de faire un travail de fond avec des personnes en reconversion, ce qui est passionnant. De plus l'équipe est top.",-4
15903160,Enseignement sur plusieurs sites de la ville :  la distance en temps varie de 0 à 30 minutes selon les semestres (d'où 15 minutes).,1.0,,,,,"La liberté intellectuelle apportée par le volet recherche est primordial, et me concernant, encore accessible.",1.0,"Enseignement sur plusieurs sites de la ville :  la distance en temps varie de 0 à 30 minutes selon les semestres (d'où 15 minutes). La liberté intellectuelle apportée par le volet recherche est primordial, et me concernant, encore accessible.",2
15903369,Une partie de l’enseignement sur le même lieu que celui du laboratoire.,1.0,"La très forte augmentation du nombre d’étudiants sans augmentation du nombre d’enseignants, dégrade fortement les conditions de travail (forte augmentation du nombre d’heures complémentaires, baisse du nb d’heures pour les étudiants, manque de personnel d’appui...)
Le cas de l’informatique étant très exceptionnel (seule filière en tension qui ne forme pas assez d’étudiants pour répondre au besoin des entreprises) nous ne sommes pas du tout entendu par les instances de l’université qui votent sans cesse des mesures contre productives (non paiement des heures supplémentaires au delà de 64h, renouvellement des postes d’enseignant-chercheurs seulement après 1 an d’ATER, refus d’ouvrir un IUT d’informatique, refus de limiter le nombre d’étudiants en L1 informatique)",-2.0,Le manque de temps à consacrer à la recherche en raison de la forte augmentation de la cherche d’enseignement et administrative est très frustrant.,0.0,"Depuis 2 ans, je n’ai pas eu le temps de déposer mon dossier RIPEC, ni passé mon HDR pour profiter du repiramidage. La charge d’enseignement et administrative était trop forte. Je fais des semaines de 50h, je n’ai plus l’envie de sacrifier mes nuits, week-end et vacances, pour un salaire qui ne cesse de décroitre par rapport à celui du secteurs privé.",-5.0,"Une partie de l’enseignement sur le même lieu que celui du laboratoire. La très forte augmentation du nombre d’étudiants sans augmentation du nombre d’enseignants, dégrade fortement les conditions de travail (forte augmentation du nombre d’heures complémentaires, baisse du nb d’heures pour les étudiants, manque de personnel d’appui...)
Le cas de l’informatique étant très exceptionnel (seule filière en tension qui ne forme pas assez d’étudiants pour répondre au besoin des entreprises) nous ne sommes pas du tout entendu par les instances de l’université qui votent sans cesse des mesures contre productives (non paiement des heures supplémentaires au delà de 64h, renouvellement des postes d’enseignant-chercheurs seulement après 1 an d’ATER, refus d’ouvrir un IUT d’informatique, refus de limiter le nombre d’étudiants en L1 informatique) Le manque de temps à consacrer à la recherche en raison de la forte augmentation de la cherche d’enseignement et administrative est très frustrant. Depuis 2 ans, je n’ai pas eu le temps de déposer mon dossier RIPEC, ni passé mon HDR pour profiter du repiramidage. La charge d’enseignement et administrative était trop forte. Je fais des semaines de 50h, je n’ai plus l’envie de sacrifier mes nuits, week-end et vacances, pour un salaire qui ne cesse de décroitre par rapport à celui du secteurs privé.",-6
15904052,Sans HDR par choix de ne pas rédiger ce document. J'ai encadré 20 thésard.e.s (dont 15 en tant qu'encadrant principal).,1.0,,,,,"Le métier se dégrade. Nous faisons de plus en plus de tâches administratives dont l'utilité est discutable. Nous avons de plus en plus de contraintes en enseignement et en recherche. Le nombre de publications nécessaires pour avoir un dossier acceptable est de plus en plus grand, en conséquence, il faut passer plus de temps à rédiger des publications/communications qu'à faire de la recherche, et le contenu des publications se limite de plus en plus. Les grilles de salaire sont faibles par rapport au monde industriel ou aux autres pays industrialisés.",0.0,"Sans HDR par choix de ne pas rédiger ce document. J'ai encadré 20 thésard.e.s (dont 15 en tant qu'encadrant principal). Le métier se dégrade. Nous faisons de plus en plus de tâches administratives dont l'utilité est discutable. Nous avons de plus en plus de contraintes en enseignement et en recherche. Le nombre de publications nécessaires pour avoir un dossier acceptable est de plus en plus grand, en conséquence, il faut passer plus de temps à rédiger des publications/communications qu'à faire de la recherche, et le contenu des publications se limite de plus en plus. Les grilles de salaire sont faibles par rapport au monde industriel ou aux autres pays industrialisés.",1
