"Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","1 - Vous êtes ? ","Votre statut :","Votre ancienneté dans la profession d'enseignant/chercheur (permanent ou non)","Autre statut :","Ancienneté de nomination sur votre premier poste (MCF, PU ou assimilé)","Obtention de l'HDR","Ancienneté de nomination sur votre poste actuel (MCF, PU ou assimilé)","Type de votre établissement","Autre établissement : ","Ville ","Vous êtes rattaché.e à :","Formation en informatique","Formation à forte composante informatique","Autres formations","Vous êtes membre d'un laboratoire","Au total","En Informatique","Distance en temps pour transiter de votre lieu d'enseignement à celui de la recherche","Commentaires éventuels (sur le formulaire ou sur votre situation personnelle)","Faites vous des heures complémentaires ?","Vous les faîtes majoritairement","cette année","ces cinq dernières années","Si vous avez une décharge d'enseignement, à combien se monte-elle en heures en moyenne par an  ","Combien de mois d'aménagement de temps (CRCT, délégation....) avez-vous obtenus ces dix dernières années","Quantité d'étudiants (TD/TP)","Quantité d'heures d'enseignement","Etat général des locaux et matériels","Equilibre volume CM/TD/TP","Organisation (rythme, doublons, horaires...) des enseignements","Relation avec les étudiants","Equipe pédagogique (relations, nombre...)","Equipe technique  (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Evaluation de vos enseignements","Charges administratives (volume, complexité...)","Responsabilités pédagogiques (UE, Année...)","Responsabilité de filière","Pensez-vous qu'il soit reconnu intitutionnellement ?","Appréciation personnelle sur l'enseignement","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de l'enseignement)","Quantité de doctorants/stagiaires/... ces 5 dernières années contribuant à votre recherche","Nbe d'heures de recherche disponibles","Etat général des locaux et matériels","Moyens financiers pérennes","Moyens financiers issus de projets","Equilbre montage de projet/réalisation concrète de projets","Ratio temps montage / taux de succès aux appels nationaux","Ratio temps montage / taux de succès aux appels internationaux","Retio temps montage-discussion / taux de succès aux contrats industriels","Equipe de recherche (relations, nombre...)","Equipe technique (relations, nombre, support, ...)","Equipe administrative  (relations, nombre, support, ...)","Charges administratives (projet, ..)","Animation (séminaire, médiatisation...)","Responsabilités locales (équipes, laboratoire...)","Responsabilités nationales ou internationales","Appréciation personnelle sur la recherche","Commentaires éventuels (sur le formulaire ou sur votre appréciation personnelle de la recherche)","Avez-vous des charges administratives ?","Resp. administratives","Resp. pédagogiques","Resp. électives (Conseils de composantes, de laboratoire, ...)","Autres","J'apprécie mes charges/activités administratives","J'ai  beaucoup de charges administratives","Je ne les ai pas vraiment ""choisies"" (elles m'ont été imposées / je les ai acceptées parce que personne ne voulait les prendre en charge)","Il y a des charges administratives que j'aurais voulu assurer mais que je n'ai pas pu obtenir","Certains  de mes collègues se défilent trop souvent à accepter ces charges","Mes responsabilités administratives sont bien prises en compte lors de l'évaluation de mon dossier RIPEC","Mes charges/activités administratives influent positivement sur le déroulement de ma carrière","Les moyens financiers pérennes nécessaires à ces activités sont suffisants","Les équipe administratives et/ou techniques nécessaires à ces activités sont suffisantes","J'ai assez d'automie dans ces activités","Quel serait pour vous, la répartition ""idéale"" entre Enseignement/Rech/Adm (donnez votre réponse sous la forme d'un ratio E/R/A - Ex. 45/45/10)","Pensez-vous avoir de bonnes chances d'avoir la RIPEC3 ?","Pensez-vous avoir de bonnes chances de progresser dans votre carrière (changement de grade, de classe... ?","Finalement trouvez vous ce métier encore intéressant ?","Pensez-vous qu'il est attirant pour de jeunes chercheurs ?","Le conseilleriez-vous à un futur docteur en Informatique ?","Pouvez-vous expliquer vos réponses merci ..."
"1","15792852","3/31/2023 15:05","3/31/2023 15:05","3/31/2023 15:05","0","0.0.0.0","0","Anonymous","Une femme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique","101 - 150",">200",">200","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","30","","Oui","Par nécessité de service","121 - 150","121 - 150","0","6","4","4","4","4","4","4","3","2","1","4","1","2","NC","0","J'aime toujours enseigner","","3","3","4","2","2","1","1","1","2","3","3","3","3","4","4","4","J'aime toujours faire de la recherche","","Oui",">15",">15","","","2","1","2","2","0","NSPP","0","0","0","4","45/10/45","Oui","Non","4","3","4",""
"2","15896547","4/7/2023 13:32","4/7/2023 13:32","4/7/2023 13:32","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une forte composante en informatique","101 - 150","","<50","majoritairement informatique (rattaché INS2I ou INSIS)","101 - 200","","0","Il n'y a plus d'UFR à l'Université de Bordeaux, mais des UF. Et en particulier une UF Informatique.","Oui","Un peu des deux","<50","<50","0","0","4","3","4","4","3","3","3","3","3","3","2","3","3","3","J'aime toujours enseigner","","2","2","4","1","2","2","NC","NC","NC","3","4","4","2","3","3","4","J'aime toujours faire de la recherche","","Oui","<5","","","","1","3","3","NC","NSPP","NC","4","3","2","4","40/40/20","Non","Je ne suis pas ou plus concerné","4","4","4",""
"3","15896551","4/7/2023 13:32","4/7/2023 13:32","4/7/2023 13:32","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200",">200",">200","majoritairement informatique (rattaché INS2I ou INSIS)","50 - 100","50 - 100","0","","Oui","Par nécessité de service","<50","<50","0","12","4","1","4","4","1","4","3","3","3","3","1","2","2","2","J'aime toujours enseigner","","5","1","5","4","4","4","4","NC","2","4","4","4","1","2","3","3","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","","<5","1","4","3","NC","5","4","3","3","3","3","4/4/2","Oui","Oui","5","2","4","Les conditions de travail dépendent beaucoup du lieu d'exercice, et peut fortement changer pour diverses raisons conjoncturelles (financements, maladie, réorganisation)."
"4","15896563","4/7/2023 13:33","4/7/2023 13:33","4/7/2023 13:33","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","un département d'informatique d'IUT",">200",">200","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","25","","Non","","","","0","0","5","5","4","4","3","4","1","2","3","4","0","1","NC","0","J'aime toujours enseigner mais un demi service me suffirait","","3","1","3","1","1","1","1","1","2","5","3","5","1","2","NC","NC","S'il y a un moyen de ne plus en faire sans pénaliser ma carrière, ça m'intéresse","","Oui",">15",">15","","","1","1","0","NSPP","5","0","0","0","0","4","40/40/20","Qui sait, sur un malentendu ...","Qui sait, sur un malentendu ...","3","1","1",""
"5","15896653","4/7/2023 13:38","4/7/2023 13:38","4/13/2023 12:57","0","0.0.0.0","0","Anonymous","Une femme","Maître de Conférences (sans HDR)","> 10 ans","","> 10 ans","Sans","> 10 ans","IUT","","Nice","un département d'informatique d'IUT","151 - 200","151 - 200",">200","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","201 - 300","35","","Oui","Par nécessité de service","<50","121 - 150","0","0","4","3","4","4","4","2","0","0","2","4","4","4","4","1","J'aime toujours enseigner","L'enseignement est de plus en plus difficile. J'ai des étudiants en 1ère année de BUT et j'ai trop souvent l'impression que je dois me battre pour qu'ils travaillent. J'ai passé des centaines d'heures à codes des exercices de programmation en ligne sur Moodle (à raison d'une heure par exercice), je n'ai pas l'impression que cela sera aussi valorisé que la recherche. ","3","2","4","2","0","0","0","0","2","2","4","4","3","2","2","4","J'aime toujours faire de la recherche","Je fais ma recherche quasiment toute seule depuis que l'équipe à laquelle j'étais rattachée a été démantelée, après qu'une partie des membres de cette équipe aient créé une équipe commune INRIA.
J'arrive tout de même à garder une activité de recherche mais c'est difficile. Je suis de plus assez choquée que certains membres de cette nouvelle équipe commune, qui sont PU, encadrent des thèses entre pros et ne jouent plus leur rôle d'animateurs d'équipe. Quand on propose des sujets face à deux PU on passe forcément après. ","Oui","","","<5","9 - 15","4","4","4","1","5","4","4","2","2","4","33/33/33","Qui sait, sur un malentendu ...","Non","4","2","4","Je n'ai aucun espoir de passer un jour PU, ni même d'avoir la classe exceptionnelle, à cause du temps que je passe en enseignement et en administratif qui pénalise forcément mon temps de recherche
"
"6","15896801","4/7/2023 13:47","4/7/2023 13:47","4/7/2023 13:47","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (avec HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","7","","Oui","Par nécessité de service","<50","<50","18","12","3","3","2","4","1","4","4","4","4","NC","3","2","3","4","J'aime toujours enseigner mais un demi service me suffirait","","4","1","4","2","2","1","0","1","0","5","4","4","3","3","NC","4","J'aime toujours faire de la recherche","Je suis dans une équipe Inria. Cela offre des conditions de recherche globalement bonnes.","Oui","5 - 8","5 - 8","","<5","4","1","5","0","4","NC","4","4","4","4","40/40/20","Je ne suis pas ou plus concerné","Oui","4","3","4","On garde l'espoir."
"7","15896866","4/7/2023 13:51","4/7/2023 13:51","4/7/2023 13:51","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une forte composante en informatique",">200","<50","<50","pluridiciplinaire avec une forte composante informatique","<50","<50","2","","Oui","Par nécessité de service","<50","<50","36","0","4","3","3","4","4","4","5","4","5","4","1","5","5","2","J'aime toujours enseigner","","4","2","4","3","5","2","1","1","4","5","0","5","2","4","0","5","J'aime toujours faire de la recherche","","Oui","5 - 8","5 - 8","","5 - 8","2","2","5","0","3","5","2","0","0","2","40/40/20","Oui","Je ne suis pas ou plus concerné","5","2","3",""
"8","15897130","4/7/2023 14:03","4/7/2023 14:03","4/7/2023 14:03","0","0.0.0.0","0","Anonymous","Une femme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une Ecole d'ingénieur avec une forte composante en Informatique","50 - 100","50 - 100","<50","pluridiciplinaire sans composante informatique forte","50 - 100","<50","30","","Oui","Un peu des deux","51 - 80","51 - 80","0","12","3","3","3","1","1","5","3","3","3","3","3","3","3","3","J'aime toujours enseigner","","3","1","3","0","3","0","0","0","3","3","3","3","2","2","2","1","J'aime toujours faire de la recherche","","Oui","","5 - 8","","5 - 8","3","3","3","4","3","3","3","3","1","3","40/40/20","Oui","Oui","3","1","2","Aujourd’hui, l’informatique offre une multitude de métiers. Le métier d’E/C est trop difficile, il faut être très motivé pour l’exercer sans frustration. "
"9","15897358","4/7/2023 14:10","4/7/2023 14:10","4/7/2023 14:10","0","0.0.0.0","0","Anonymous","Un homme","Professeur des Universités","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une UFR avec une composante en informatique",">200","","","majoritairement informatique (rattaché INS2I ou INSIS)",">300",">300","0","","Oui","Par nécessité de service","<50","51 - 80","0","0","2","2","2","2","0","3","3","NC","2","NC","2","2","NC","2","J'aime toujours enseigner mais un demi service me suffirait","","4","2","4","2","1","1","1","1","NC","4","NC","2","2","3","3","3","J'aime toujours faire de la recherche","","Oui","5 - 8","<5","","<5","0","","2","","","","","","","","40/40/20","Oui","Oui","4","2","4",""
"10","15897772","4/7/2023 14:23","4/7/2023 14:23","4/7/2023 14:23","0","0.0.0.0","0","Anonymous","Un homme","Maître de Conférences (sans HDR)","","","","","","Université (y compris Ecole d'ingénieur d'Université)","","","une Ecole d'ingénieur avec une forte composante en Informatique","101 - 150","","","majoritairement informatique (rattaché INS2I ou INSIS)","201 - 300","","0","","Oui","Par nécessité de service","121 - 150","81 - 120","80","0","4","1","4","4","3","4","5","4","4","4","1","4","4","0","J'aime toujours enseigner","","0","2","4","0","5","2","2","4","4","5","2","2","0","3","3","3","S'il y a un moyen de ne plus en faire sans pénaliser ma carrière, ça m'intéresse","","Oui","","9 - 15","","","5","4","5","NC","5","NSPP","NSPP","4","0","5","40/40/20","Qui sait, sur un malentendu ...","Oui","5","1","2",""
