SID,Pouvez-vous expliquer vos réponses merci ...,Note merci
15896551,les conditions de travail dépendent beaucoup du lieu d exercice et peut fortement changer pour diverses raisons conjoncturelles financements maladie réorganisation,1
15896653,je n ai aucun espoir de passer un jour pu ni même d avoir la classe exceptionnelle à cause du temps que je passe en enseignement et en administratif qui pénalise forcément mon temps de recherche,0
15896801,on garde l espoir,1
15897130,aujourd hui l informatique offre une multitude de métiers le métier d ec est trop difficile il faut être très motivé pour l exercer sans frustration,0
15897993,profession en perte de considération dans la société conditions de travail en régression régulière un futur docteur est déjà engagé dans le processus donc s il a fait ce choix pas de raison de le dissuader,1
15898332,j aime encore beaucoup mon métier néanmoins les conditions d exercice se sont beaucoup dégradées processus administratifs trop nombreux et inutilement compliqués trop de temps passé à monterévaluer des projets au détriment des tâches essentielles créer de nouveaux savoirs transmettre des savoirs,0
15898367,je ne fais plus de dossier ripec choix personnel ma progression de carrière est quelque peu limitée arrivé à l avant dernier échelon le passage dans le dernier échelon se fera mais ensuite plus rien ce n est pas très motivant j aime et je conseille toujours ce métier aux jeunes chercheurs et aux étudiants prometteurs en fin de master il est toutefois très difficile voire impossible dans certaines thématiques de concurrencer les offres de la recherche industrielle proposant des salaires des moyens matériels humains du budget de fonctionnement et des environnements de support qui n ont rien à voir avec ce que peut offrir la recherche académique tout en permettant voire en incitant la transmission du savoir et la participation à l enseignement des chercheurs recrutés dans l industrie,1
15898762,intéressant oui mais j ai l impression qu on devrait réserver l informatique à des usages essentiel pour préserver l environnementclimat et beaucoup de jc se posent les mêmes questions difficile de faire de l informatique et en particulier de l ia en accord avec ses convictions,1
15899015,on peut faire notre recherche comme on le souhaite mais pas de reconnaissance de la charge surcharge que représente l enseignement informatique il est très facile de gagner beaucoup plus avec beaucoup moins de charge mentale pour rester poli un futur docteur s il sait dans quoi il se lance alors je le soutiendrais sinon autant partir dans l industrie moins de contrainte meilleure reconnaissance,1
15899810,non sans hésitation aux trois questions voir mes réponses aux commentaires précédents,0
15899927,la gestion administrative tue absolument tout il n est plus possible de travailler sereinement tous les dossiers sont devenus compliqués faire une mission demande plusieurs jours à temps complet puisque de notre côté tout doit être fait les recrutements sont une galère demandes zrr saisies sur plusieurs sites simultanément recherche de financements étudiants démotivés etc,1
15900109,vu l investissement la reconnaissance et les taches administratives ingrates qui pourrissent notre temps de recherche et le salaire je ne recommande pas ce métier,0
15901382,métier intéressant car très varié et avec des rencontres qui nous enrichissent intellectuellement ou personnellement je le conseil généralement au futur docteur pour les mêmes raisons,0
15902190,l ec est la dernière roue du carrosse des universités il est malmené corvéable à merci ses missions sont de plus en plus complexes mais il est de moins en moins considéré les biatss obtiennent la rifseep automatiquement avec des montants annuels de l ordre de k par exemple pour les igr pour obtenir une potentielle ripec ans sur d un montant de k annuel l ec doit bien se classer au niveau national ne parlons pas de ce que l état nous demande aller chercher toujours plus de moyens par projets tout en maintenant une recherche fondamentale de qualité évaluations individuelles collectives contrat d objectif et de moyens qui demandent des efforts de transition énergétique sans perdre en productivité dans mon labodépartement on trouve normal de bosser h par semaine moi y compris tout ça pour un salaire plafond à moins de k par mois pour les mcf de qui se moque t on vivement la retraite la quoi,0
15902290,souvent difficile d avoir un poste compte tenu du nombre disponible par rapport à la demande en informatique les salaires ne sont pas attractifs par rapport aux entreprises,1
15902826,admin car la plupart du temps c est de l administration de l enseignement la recherche s administre peu je continue à le conseiller et le conseillerai tout le temps ecrire un article ou faire un cours est toujours gratifiant,1
15902841,en informatique l offre en r d industriel y compris avec des possibilités de vacations à l université est une alternative intéressante tant pour les conditions de travail pour le salaire que pour l absence de charge administrative le seul désavantage que je vois dans cette alternative est la non participation à la politique de l enseignement et encore avec les conseils de perfectionnement,1
15902882,le décret de et le système est à bout de souffle les ec croule sous les tâches administratives et les heures d enseignement activités qui ne sont pas valorisées et inutiles pour l avancement et la carrière de nos jours les mcf qui passent pr délaissent cours et tâches collectives pour privilégier leur recherche au détriment de ceux qui acceptent la surcharge de travail pédagogique et administratif il est temps de passer au corps unique des ec quitte à mettre en place un pr classe et de faire disparaitre les mcf avec l arrivée des cpj cela devient urgent il faudra aussi s interroger sérieusement sur l utilité et la pertinence de l hdr rien que la disparité des conditions et des requis pour la passer d une section cnu à l autre montre son obsolescence et son inadéquation hdr inutile par ailleurs pour les recruté en cpj,0
15902955,en informatique honnêtement il y a tellement de possibilités avec de meilleurs salaires c est donc difficile à conseiller,1
15903001,la charge administrative que j ai choisie n étant pas dans mon établissement de rattachement je n ai pas beaucoup d espoir qu il soit valorisé toutefois ne supportant plus les étudiants que j ai en face de moi je préfère cette solution à un temps plein en iut là où j ai ma charge administrative me permet de faire un travail de fond avec des personnes en reconversion ce qui est passionnant de plus l équipe est top,1
15903160,la liberté intellectuelle apportée par le volet recherche est primordial et me concernant encore accessible,0
15903256,il faut être fou ou super motivé pour devenir mcf de nos jours paye minable pr au nombre d études même après des années d ancienneté difficulté à ne pas travailler durant ses soirées ses week end et ses vacances étudiants non motivés peu de moyens de les motiver financiers ou autres encadrement en sous effectif nécessité de pallier les manques de l université je peux continuer un moment comme cela mieux vaut être ingénieur bien payé dans une boîte qui propose des avantages et au final plus de rtt que nous n avons de vrais congés,0
15903369,depuis ans je n ai pas eu le temps de déposer mon dossier ripec ni passé mon hdr pour profiter du repiramidage la charge d enseignement et administrative était trop forte je fais des semaines de h je n ai plus l envie de sacrifier mes nuits week end et vacances pour un salaire qui ne cesse de décroitre par rapport à celui du secteurs privé,0
15903377,salaire pas attractif aucune perspective de promotion manque de respect des étudiants,1
15903383,la charge administrative est important et non comptabilisée l enseignement pas la gestion des activités pédagogique n est pas valoriser dans la carrière il y a des pays qui demande des actions concrètes de pédagogie pour pouvoir passer prof,1
15903420,un métier créatif qui peut se réaliser avec beaucoup d autonomie et peu de contraintes externes relativement à d autres jobs à même niveau de diplôme,1
15903423,la liberté de travailler sur les problèmes que l on choisit soi même le contact permanent avec des personnes instruites et la satisfaction d aider des jeunes gens dans leur future carrière etc etc le métier idéal,1
15903947,ce métier est une passion mais c est de plus en plus difficile de la vivre,1
15904052,le métier se dégrade nous faisons de plus en plus de tâches administratives dont l utilité est discutable nous avons de plus en plus de contraintes en enseignement et en recherche le nombre de publications nécessaires pour avoir un dossier acceptable est de plus en plus grand en conséquence il faut passer plus de temps à rédiger des publicationscommunications qu à faire de la recherche et le contenu des publications se limite de plus en plus les grilles de salaire sont faibles par rapport au monde industriel ou aux autres pays industrialisés,1
15904144,pas sûr d avoir bien compris les échelles j ai considéré pas bien et bien,0
15904365,enseignant chercheur oui mais pas en france,1
