SID,Commentaires éventuels (sur le formulaire ou sur votre situation personnelle),Note personnelle
15896547,il n y a plus d ufr à l université de bordeaux mais des uf et en particulier une uf informatique,1
15897993,temps moyen hors période bouchon,1
15899015,temps moyen de déplacement selon les sites peut aller de minutes à minutes,0
15899810,je suis responsable de m mon travail a une forte composante bureaucratique,1
15901382,pas de distance en temps pour transiter du lieu d enseignement à celui de la recherche site délocalisé sauf pour les conseils de laboratoire qui sont sur le site central,0
15902826,ufr d informatique propre composée à d informaticiens,1
15903001,je ne fais pratiquement plus ma recherche dans le laboratoire mais en télétravail de plus je suis à cheval sur deux établissements j ai donc rempli ce sondage avec ma composante de rattachement,1
15903160,enseignement sur plusieurs sites de la ville la distance en temps varie de à minutes selon les semestres d où minutes,1
15903369,une partie de l enseignement sur le même lieu que celui du laboratoire,0
15904052,sans hdr par choix de ne pas rédiger ce document j ai encadré thésard e s dont en tant qu encadrant principal,1
15904365,rattaché à une petite composante de l université de poitiers mais qui n est pas une ufr ni une école d ingé,1
15908558,plusieurs lieux d enseignement donc le temps peut varier de mn à mn en transport en commun,0
15909012,distance en temps pour transiter de votre lieu d enseignement à celui de la recherche si sur l antenne locale min sinon nombre moyen d étudiants inscrits sur l ensemble de vos formations toutes années confondues pas d autres formations au sein de l ufr informatique sinon étudiants ailleurs,0
15909225,la question votre ancienneté dans la profession d enseignantchercheur permanent ou non n est pas assez précise doit on compter les années de doctorat quand on a été allocataire de recherche et moniteur de l enseignement supérieur je les ai comptées sans explications la question nombre moyen d étudiants inscrits sur l ensemble de vos formations toutes années confondues est incompréhensible de quelles années s agit il que signifie le vos dans vos formations sur quoi doit être calculée la moyenne,0
15923766,iut sur site délocalisé,1
15924241,en ce qui concerne la question nombre moyen d étudiants inscrits sur l ensemble de vos formations toutes années confondues je ne connais pas réellement les effectifs,0
15924778,l université gustave eiffel n est pas dans la liste,1
15930193,l peu étiquetée informatique recrutement exterieur en l et m donc manque de continuité gros retard sur le lmd et m toujours pensés deadess gros problèmes pour la pédagogie et le recrutement,0
15933511,changement à venir dans l école d ingénieur qui va nous faire perdre la spécialité informatique,0
15936532,membre associé depuis,1
15936617,il existe des laboratoires d informatique en france non attachés au cnrs,1
15936966,je ne sais pas si le laboratoire est rattaché ins i ni le nombre exact de membres informatique et non informatique,1
15937059,j habite bordeaux et je travaille a paris je cherche a avoir une mutation,0
15937073,laboratoire et école bi sites entre h et h de trajets entre les sites situés dans des villes différentes,1
15937546,je ne sais pas différencier une composante en informatique et une forte composante en informatique,1
15937555,je suis dans un laboratoire majoritairement informatique i e uniquement des sections mais non rattaché ins i ou inisis car labo non cnrs j ai coché autre,1
15940084,à noter que je suis actuellement en détachement à l étranger je vais répondre à ce questionnaire en me plaçant du point de vue où j étais mdc à nantes,1
15940117,je suis enseignant chercheur francais mais travaillant à l étranger chili dans un institut en informatique qui depend directement d une université chilienne je réponds à l enquête par curiosité sans doute je ne suis pas la cible de l enquête,0
15940754,pas de laboratoire propre à l école donc j effectue mes recherches dans un laboratoire d une autre université,1
15941824,quelle unité pour distance en temps pour transiter de votre lieu d enseignement à celui de la recherche,0
15943722,il manque une question sur le nombre de lieux de travail différents je trouve,1
15944200,labo cristal dans les bureaux d inria enseigne à la fst informatique de l univ lille min de marche séparent les deux bâtiments,1
15945223,,1
15945321,la notion de nombre moyen d étudiants inscrits sur l ensemble de vos formations ne me semble pas très claire de quoi faut il faire la moyenne ma réponse donne donc le nombre d étudiants auxquels j ai donné des cours cette année,0
15945512,les salles des enseignants et des chercheurs sont communes les salles de cours dans le même couloir,1
15946027,il y a sites d enseignement l un sur place et l autre à min soit minutes en considérant une moyenne pondérée par les interventions sur chaque site,1
15946894,le temps entre labo et université est lié au fait que je suis rattaché à un autre laboratoire que celui de mon université,1
15947080,chercheur du privé en visite dans un laboratoire d informatique,1
15947295,pas le temps ni le courage de refaire une e fois ce formulaire donc tout va bien,0
15947632,merci,1
15947673,il n y a pas que le cnrs qui existe dans la vie il y a des laboratoires informatique non rattachés au ins i ou au insis il y a de la vie en dehors des grands centres biberonnés au cnrs,1
15947705,seul pr femme dans le département informatique de l iut seule ec femme dans l équipe de recherche,1
15947756,aucun espoir de promotion locale,1
15947829,merci,1
15948611,ufr comme avant le lmd i e avec des recrutement en l ou m des profs qui font comme deadess donc manque de cohérence pédagogique er année sans visibilité informatique,0
15948662,je n interviens pas dans une formation à forte composante informatique si on les distingue de formation en informatique aussi mon laboratoire est un labo informatique mais c est une ur pas une umr qui n est pas rattaché ni ins i ou insis,1
15948772,les sites d enseignements et de recherches sont parfois assez éloignés,0
15948871,retraité en fin octobre je développe informellement avec d autre le moteur d inférence en logiciel libre refpersys j enseigne un peu l informatique à l iut orsay voir http refpersys org et github comrefpersysrefpersys page web du cea list list cea fr ma page web personnelle http starynkevitch netbasile,1
15949092,c est une vision particulière que la modalité du laboratoire majoritaire informatique en précisant rattaché ins i ou insis je suis dans une ufr de sciences sociales où nous sommes informaticien nes,0
15949240,selon les sites temps de transports entre minutes et minutes environs,1
15949904,,1
15953559,iut dpt gea chef de dpt,1
15954262,mc section enseignement ufr humanités en sciences humaines licence humanités numériques,0
15956930,ras,0
15959515,nombreux sites d enseignement le temps moyen est de mn mais avec forte variance entre mn et mn,1
15960293,j habite plus km de mon lieu de travail j ai suivi mon conjoint et je n ai pas réussi à muter,0
15961728,je suis retraité émérite,0
15961989,les charges pédagogiques et administratives ne font qu augmenter ce qui complique de plus en plus le travail de recherche le temps recherche étant celui qui sert de variable d ajustement,1
15962686,je suis membre d une eur à dominante forte en informatique,0
